X,Y,OBJECTID,GCOMPID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR
-103.619963366999968,41.075475084000061,121,GCOMP1106,KIMBALL JUNCTION,HWY 12/HWY 45,NOT AVAILABLE,KIMBALL,NE,69145,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,KIMBALL,31105,USA,41.075475084,-103.619963367,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE, IMAGERY",2015-08-18T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://pipeline.tallgrassenergylp.com/,TALLGRASS INTERSTATE GAS TRANSMISSION LLC,53,TALLGRASS INTERSTATE GAS TRANSMISSION LLC,WITHIN 40 FEET,2,2208,5785257,0,0,1025,169,1,2012-12-29T00:00:00.000Z,0,0
-100.727332748999956,36.361722444000065,122,GCOMP1107,PERRYTON-BARLOW,HWY 20/ K RD,NOT AVAILABLE,PERRYTON,TX,79070,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,OCHILTREE,48357,USA,36.361722444,-100.727332749,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE, IMAGERY",2015-10-19T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://www.dcpmidstream.com/,"CIMARRON RIVER PIPELINE, LLC",575,"CIMARRON RIVER PIPELINE, LLC",WITHIN 40 FEET,3,2475,2284969,0,175497,83080,15251,3,2012-12-18T00:00:00.000Z,14980,244758
-80.5996,39.369922,123,GCOMP1108,SEDALIA,HWY 23 & ROUNDBOTTOM RD.,NOT AVAILABLE,SEDALIA,WV,26339,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,DODDRIDGE,54017,USA,39.369922,-80.5996,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-11-04T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,1,350,249222,0,20,0,0,0,,0,0
-80.232062028999962,39.319891042000037,124,GCOMP1109,SWIGER,HWY 279 & FARM ROAD,NOT AVAILABLE,BRIDGEPORT,WV,26330,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,HARRISON,54033,USA,39.319891042,-80.232062029,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",2015-10-09T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://escript.dom.com/,"DOMINION TRANSMISSION, INC.",22,"DOMINION TRANSMISSION, INC.",WITHIN 40 FEET,1,633,831700,49822,75546,17819,8185,1,2012-08-05T00:00:00.000Z,0,0
-80.274052,41.27791,125,GCOMP111,#219 - MERCER,1211 GREENVILLE MERCER RD,NOT AVAILABLE,MERCER,PA,16137,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MERCER,42085,USA,41.27791,-80.274052,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-03T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://pipeline2.kindermorgan.com/,"TENNESSEE GAS PIPELINE COMPANY, L.L.C.",9,"TENNESSEE GAS PIPELINE COMPANY, L.L.C.",WITHIN 40 FEET,14,21550,26241188,340613,1066312,117116,1113,6,2012-01-02T00:00:00.000Z,0,0
-79.375991621999958,38.848854488000022,126,GCOMP1110,SENECA,HWY 28 & HWY 33,NOT AVAILABLE,SENECA ROCKS,WV,26884,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,PENDLETON,54071,USA,38.848854488,-79.375991622,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-28T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,4,35350,42482913,557176,398761,182992,2451,3,2012-02-13T00:00:00.000Z,32891,-999
-110.789835,41.823123486000043,127,GCOMP1111,ROBERSON CREEK,HWY 330/ EAST OF HWY 30 (13.2 MILES WEST OF KEMMERER),NOT AVAILABLE,KEMMERER,WY,83101,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,LINCOLN,56023,USA,41.823123486,-110.789835,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE, IMAGERY",2015-08-18T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://ebb.cigco.com/,"RUBY PIPELINE, L.L.C.",63,"RUBY PIPELINE, L.L.C.",WITHIN 40 FEET,3,69000,95604882,0,653413,0,17118,1,2012-07-01T00:00:00.000Z,12038826,199038045
-92.942441,32.37523,128,GCOMP1112,SOUTHERN NATURAL GAS - BIENVILLE STATION,HWY 507 3.75 MILES N OF HWY. 9,NOT AVAILABLE,BIENVILLE,LA,71008,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BIENVILLE,22013,USA,32.37523,-92.942441,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE, IMAGERY",2015-09-25T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://www.kindermorgan.com/,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",63,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,4,28000,51717521,1211549,1934753,446115,9603,4,2012-05-13T00:00:00.000Z,0,0
-90.940707332,32.716238217000068,129,GCOMP1113,ONWARD,HWY 61 SOUTH,NOT AVAILABLE,ONWARD,MS,39159,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,SHARKEY,28125,USA,32.716238217,-90.940707332,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-10T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://ixsnp.sonetpremier.com/,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",7,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,5,7600,10220757,459891,469650,161462,10025,2,2012-01-04T00:00:00.000Z,0,0
-87.714718261999963,32.499597230000056,130,GCOMP1114,GALLION,HWY 69 1 MILE S OF HWY 80,NOT AVAILABLE,GALLION,AL,36742,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MARENGO,01065,USA,32.49959723,-87.714718262,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-10T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://ixsnp.sonetpremier.com/,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",7,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,6,28670,35822489,800725,3062549,280867,19559,1,2012-09-25T00:00:00.000Z,5044653,88261410
